Category,Material Name (JP),Material Name (EN),Cutting Pressure,Multi-Cut,Blade Type,GSM,Surface Texture,Has Adhesive,Density (kg/m3),Shore Hardness A
Iron-On,3Dアイロン接着,3D Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Others,アセテート,Acetate,290,2倍,ファインポイントブレード,200.0,plain,0,1300.0,75.0
Vinyl,接着箔,Adhesive Foil,90,-,ファインポイントブレード,120.0,foil,1,1365.0,75.0
Vinyl,粘着箔、マット,"Adhesive Foil, Matte",90,-,ファインポイントブレード,120.0,foil,1,1365.0,75.0
Others,アルミ箔,Aluminum Foil,70,2倍,ファインポイントブレード,200.0,foil,0,2835.0,50.0
Paper,ブッチャーペーパー,Butcher Paper,100,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Paper,キャリブレーションペーパー,Calibration Paper,90,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Cardstock,カードストック（H）,Cardstock (H),182,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Cardstock,カードストック、接着剤付き,"Cardstock, Adhesive-Backed",200,2倍,ファインポイントブレード,216.0,plain,1,800.0,30.0
Vinyl,黒板ビニール,Chalkboard Vinyl,160,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Iron-On,カメレオンアイロン接着タイプ,Chameleon Iron-On,130,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,カラーポップアイロン接着,Color Pop Iron-On,250,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Paper,建設用紙,Construction Paper,150,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Paper,コピーペーパー - 20ポンド（75gsm）,Copy Paper,90,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Paper,コピーペーパー - 24ポンド（90gsm）,Copy Paper - 24 lb (90 gsm),90,-,ファインポイントブレード,90.0,plain,0,750.0,15.0
Paper,コピーペーパー - 32ポンド（120gsm）,Copy Paper - 32 lb (120 gsm),90,-,ファインポイントブレード,120.0,plain,0,750.0,15.0
Board/Cardboard,段ボール,Corrugated Cardboard,320,-,ディープポイントブレード,850.0,plain,0,850.0,55.0
Others,クラフトフォーム,Craft Foam,80,10倍,ディープポイントブレード,200.0,plain,0,100.0,42.0
Cardstock,カットアウェイカード,Cutaway Card + Backer,165,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Fabric,デニム、接着,"Denim, Bonded",320,3倍,ファインポイントブレード,150.0,plain,0,280.0,10.0
Vinyl,ドライイレースビニール,Dry Erase Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Others,EVAフォーム,EVA Foam,150,-,ディープポイントブレード,200.0,plain,0,100.0,42.0
Iron-On,エブリデイアイロン接着タイプ,Everyday Iron-On,90,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Leather,フェイクレザー（ペーパーシン）,Faux Leather (Paper Thin),150,2倍,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Leather,フェイクスエード,Faux Suede,90,3倍,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Others,フェルト,Felt,160,2倍,ファインポイントブレード,200.0,plain,0,300.0,20.0
Fabric,フェルト、接着剤付きウール,"Felt, Wool Bonded",90,3倍,ファインポイントブレード,150.0,plain,0,300.0,20.0
Others,フェルト、ウール生地,"Felt, Wool Fabric",320,6倍,ファインポイントブレード,200.0,plain,0,300.0,20.0
Board/Cardboard,フラットダンボール,Flat Cardboard,320,-,ファインポイントブレード,850.0,plain,0,850.0,65.0
Iron-On,フロックアイロン接着,Flocked Iron-On,120,-,ファインポイントブレード,100.0,flock,0,1102.5,59.0
Paper,フロックペーパー,Flocked Paper,250,3倍,ファインポイントブレード,80.0,flock,0,787.5,29.0
Iron-On,ホイルアイロン接着タイプ,Foil Iron-On,90,-,ファインポイントブレード,100.0,foil,0,1050.0,55.0
Board/Cardboard,ホイルポスターボード,Foil Poster Board,330,2倍,ファインポイントブレード,850.0,foil,0,892.5,75.0
Cardstock,グリッターカードストック,Glitter Cardstock,280,2倍,ファインポイントブレード,216.0,glitter,0,920.0,48.0
Iron-On,グリッターアイロン接着タイプ,Glitter Iron-On,180,-,ファインポイントブレード,100.0,glitter,0,1176.0,63.0
Iron-On,暗闇で光るアイロン接着タイプ,Glow in the Dark Iron-On,90,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Vinyl,暗闇で光るビニール,Glow in the Dark Vinyl,110,2倍,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,熱や冷感活性化で色が変化するビニール,Heat/Cold Activated Color Changing Vinyl,130,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Cardstock,ヘビーカードストック - 100ポンド（270gsm）,Heavy Cardstock - 100 lb (270 gsm),270,2倍,ファインポイントブレード,270.0,plain,0,800.0,30.0
Paper,140 Ib（300 g ）の厚い水彩紙,Heavy Watercolor Paper - 140 lbs (300 gsm),220,2倍,ファインポイントブレード,300.0,plain,0,750.0,15.0
Iron-On,ホログラフィックアイロン接着タイプ,Holographic Iron-On,90,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Vinyl,ホログラフィックビニール,Holographic Vinyl,90,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Infusible Ink,インフュージブルインク転写シート,Infusible Ink Transfer Sheet,230,-,ファインポイントブレード,75.0,plain,0,800.0,20.0
Cardstock,インサートカード - カードストック,Insert Card - Cardstock,180,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Iron-On,アイロン接着パッチ,Iron-On Patches,130,3倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Board/Cardboard,クラフトボード,Kraft Board,330,3倍,ファインポイントブレード,850.0,plain,0,900.0,65.0
Cardstock,クラフトカードストック,Kraft Cardstock,300,-,ファインポイントブレード,216.0,plain,0,800.0,30.0
Printable Materials,ラミネート印刷可能なステッカー用紙、ホワイト,"Laminated Printable Sticker Paper, White",250,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Paper,レーザーコピー用紙,Laser Copy Paper,90,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Cardstock,ライトカードストック - 65ポンド（176gsm）,Light Cardstock - 65 lb (176 gsm),140,2倍,ファインポイントブレード,176.0,plain,0,800.0,30.0
Board/Cardboard,軽チップボード（0.37mm）,Light Chipboard - 0.37 mm,320,2倍,ファインポイントブレード,314.5,plain,0,850.0,55.5
Others,磁気シート（0.5mm）,Magnetic Sheet - 0.5 mm,400,5倍,ファインポイントブレード,200.0,plain,0,3500.0,90.0
Others,磁気シート（1.0mm）,Magnetic Sheet - 1.0 mm,350,8倍,ディープポイントブレード,200.0,plain,0,3500.0,90.0
Board/Cardboard,マットボード（1.5mm）,Matboard (1.5 mm),350,6倍,ディープポイントブレード,1275.0,plain,0,850.0,72.5
Cardstock,ミディアムカードストック - 80ポンド（216gsm）,Medium Cardstock - 80 lb (216 gsm),180,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Cardstock,ミディアムカードストック - 80ポンド（基本カット、シングルパス）,"Medium Cardstock - 80 lb (Basic Cuts, Single Pass)",270,-,ファインポイントブレード,300.79999999999995,plain,0,800.0,30.0
Fabric,ミディアムファブリック（コットンなど）、接着剤付き,"Medium Fabrics (like Cotton), Bonded",90,3倍,ファインポイントブレード,150.0,plain,0,280.0,10.0
Iron-On,メタリックパフアイロン接着,Metallic Puff Iron-On,120,-,ファインポイントブレード,100.0,metallic,0,1102.5,55.0
Others,天然木ベニヤ,Natural Wood Veneer,310,4倍,ディープポイントブレード,200.0,plain,0,350.0,85.0
Paper,フォトペーパー,Photo Paper - 48 lb,200,-,ファインポイントブレード,180.48,plain,0,750.0,15.0
Vinyl,プレミアムビニール,Premium Vinyl,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,Premium Vinyl - フロスト不透明,Premium Vinyl - Frosted Opaque,130,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,Premium Vinyl - テクスチャードメタリック,Premium Vinyl - Textured Metallic,150,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Vinyl,Premium Vinyl -トゥルーブラッシュ,Premium Vinyl - True Brushed,240,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Iron-On,印刷可能なグリッターアイロン接着タイプキット,Printable Iron-On Glitter Kit,240,2倍,ファインポイントブレード,100.0,glitter,0,1176.0,61.0
Iron-On,印刷可能な暗闇で光るアイロン接着タイプキット,Printable Iron-On Glow in the Dark Kit,160,2倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,印刷可能なホログラフィックアイロン接着タイプキット,Printable Iron-On Holographic Kit,160,2倍,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Iron-On,印刷可能なアイロン接着タイプ、ダーク,"Printable Iron-On, Dark",100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,印刷可能なアイロン接着タイプ、ライト,"Printable Iron-On, Light",70,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,昇華転写対応・印刷可能ビニールアイロン接着,"Printable Iron-On, Sublimation",100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Printable Materials,印刷可能なマグネットシート,Printable Magnetic Sheet,300,-,ファインポイントブレード,100.0,plain,0,3500.0,90.0
Printable Materials,印刷可能なステッカー用紙、ホワイト（グリーンライナー印刷）,"Printable Sticker Paper, White",80,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,印刷可能な一時的なタトゥーペーパー,Printable Temporary Tattoo Paper,280,2倍,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,印刷可能なビニール、特殊,"Printable Vinyl, Specialty (Gold/Silver)",110,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,印刷可能なビニール、透明,"Printable Vinyl, Transparent",100,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,印刷可能なビニール、ホワイト（グリーンライナー印刷）,"Printable Vinyl, White (Green Liner Printing)",60,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,印刷可能な防水ステッカーセット - 透明,Printable Waterproof Sticker Set - Transparent,230,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,印刷可能な防水ステッカーセット - 透明ホログラフィック,Printable Waterproof Sticker Set - Transparent Holographic,230,2倍,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Printable Materials,印刷可能な防水ステッカーセット - ホワイト,Printable Waterproof Sticker Set - White,200,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,印刷可能な防水ステッカーセット - ホワイトホログラフィック,Printable Waterproof Sticker Set - White Holographic,200,2倍,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Iron-On,パフアイロン接着,Puff Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,リフレクティブアイロン接着タイプ,Reflective Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Others,ラバー（1.0mm）,Rubber (1.0 mm),180,2倍,ディープポイントブレード,200.0,plain,0,1200.0,50.0
Smart Materials,Smart Iron-On - グリッター,Smart Iron-On Glitter Matless Heat Transfer Vinyl,170,-,ファインポイントブレード,120.0,glitter,0,1456.0,81.0
Smart Materials,Smart Iron-On -ホログラフィック,Smart Iron-On Holographic Matless Heat Transfer Vinyl,180,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Smart Materials,Smart Iron-On,Smart Iron-On Matless Heat Transfer Vinyl,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,スマート水溶性ラベル,Smart Label Dissolvable Matless Writable Paper,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,Smart Label書き込み可能ビニール,Smart Label Matless Writable Vinyl,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,Smart Paper、ステッカーカードストック,Smart Paper Matless Sticker Cardstock,180,-,ファインポイントブレード,120.0,plain,1,1300.0,65.0
Smart Materials,使いやすい原紙,Smart Stencil Matless Flexible Stencil Film,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,Smart Vinyl - 恒久,Smart Vinyl Matless Permanent Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,Smart Vinyl - 取り外し可能,Smart Vinyl Matless Removable Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,Smart Vinyl - マットメタリック,Smart Vinyl Matte Metallic Matless Permanent Vinyl,110,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Smart Materials,Smart Vinyl - シマー,Smart Vinyl Shimmer Matless Permanent Vinyl,150,-,ファインポイントブレード,120.0,shimmer,0,1339.0,71.0
Iron-On,SportFlexアイロン接着タイプ,SportFlex Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Paper,昇華転写紙,Sublimation Paper,100,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Others,透明性,Transparency,230,-,ファインポイントブレード,200.0,plain,0,1300.0,75.0
Iron-On,UV活性化で色が変化するアイロン接着タイプ,UV Activated Color Changing Iron-On,120,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,UVで色が変わる印刷可能なアイロン接着タイプキット,UV-Activated Color-Changing Printable Iron-On Kit,180,2倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Cardstock,お得なカードストック - 65 lb（176 g）,Value Cardstock - 65 lb (176gsm),160,2倍,ファインポイントブレード,176.0,plain,0,800.0,30.0
Cardstock,お得なカードストック - 65ポンド（基本カット、シングルパス）,"Value Cardstock - 65 lb (Basic Cuts, Single Pass)",240,-,ファインポイントブレード,244.4,plain,0,800.0,30.0
Iron-On,お得なグリッターアイロン接着,Value Glitter Iron-On,150,-,ファインポイントブレード,100.0,glitter,0,1176.0,63.0
Iron-On,お得なアイロン接着タイプ,Value Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Vinyl,お得なビニール,Value Vinyl,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Paper,ヴェラム,Vellum,130,-,ファインポイントブレード,80.0,plain,0,750.0,12.0
Others,和紙テープ（0.06mm）,Washi Tape - 0.06 mm,50,-,ファインポイントブレード,200.0,plain,0,150.0,10.0
Cardstock,水彩カード,Watercolor Cards,200,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Paper,ワックス紙,Wax Paper,160,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Paper,ラッピングペーパー,Wrapping Paper,100,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
